sample_id,age_group,skin_type,face_shape,mood_label,eye_openness,blink_rate_per_min,skin_hydration_score,skin_shine_score,redness_score,under_eye_darkness_score,pigmentation_score,lip_brightness_score,skin_texture_score,facial_symmetry_score,primary_beauty_concern,energy_score,skin_appearance_score,mood_confidence,skin_confidence,wellness_note_type
FS_0001,46-60,normal,oblong,calm,0.797,19.8,57.0,46.5,0.0,20.1,43.9,57.0,71.1,76.6,sun_damage,85.4,76.3,0.828,0.776,general_skincare
FS_0002,46-60,oily,round,neutral,0.65,16.4,40.3,93.8,29.6,43.7,44.3,81.7,65.9,77.7,sun_damage,58.2,63.6,0.744,0.878,general_skincare
FS_0003,18-25,dry,heart,neutral,0.634,12.9,48.8,19.5,9.3,32.4,18.1,70.9,49.5,88.8,dark_circles,72.1,65.2,0.731,0.785,hydration_tip
FS_0004,26-35,normal,square,stressed,0.665,24.3,49.9,56.7,45.3,43.8,24.3,66.1,48.1,70.8,none,56.2,52.2,0.913,0.719,general_skincare
FS_0005,46-60,dry,square,neutral,0.66,21.1,39.1,18.8,48.2,57.7,14.4,78.9,23.4,87.6,sun_damage,66.4,49.4,0.851,0.811,hydration_tip
FS_0006,46-60,dry,oval,calm,0.733,18.4,63.5,35.0,29.5,11.6,16.7,72.7,53.9,83.5,redness_flush,78.7,72.0,0.746,0.819,hydration_tip
FS_0007,36-45,normal,oval,stressed,0.526,22.9,63.3,30.4,62.4,56.2,25.1,66.7,50.2,74.2,none,51.8,54.8,0.821,0.717,sun_or_stress_tip
FS_0008,26-35,oily,square,stressed,0.481,20.5,59.2,70.8,48.1,52.1,32.2,66.4,62.0,74.2,dryness,56.0,61.4,0.781,0.909,general_skincare
FS_0009,18-25,dry,round,sad,0.474,18.3,36.1,39.1,53.6,62.0,25.1,64.9,61.1,67.0,none,45.7,53.5,0.929,0.876,hydration_tip
FS_0010,36-45,oily,heart,stressed,0.487,26.6,37.5,77.4,73.0,54.4,29.0,58.1,81.4,82.2,dark_lips,49.0,51.8,0.741,0.742,hydration_tip
FS_0011,46-60,normal,square,stressed,0.678,23.4,66.3,24.8,60.3,51.7,18.0,69.6,88.8,71.4,redness_flush,56.4,59.3,0.812,0.769,sun_or_stress_tip
FS_0012,46-60,normal,oblong,tired,0.513,23.9,68.2,65.4,36.0,100.0,47.4,58.0,55.0,82.3,sun_damage,43.4,57.3,0.863,0.955,sleep_tip
FS_0013,36-45,oily,oblong,calm,0.462,14.1,71.2,72.0,34.5,10.7,5.4,59.5,55.6,67.4,dark_lips,74.2,66.2,0.794,0.809,general_skincare
FS_0014,36-45,dry,heart,happy,0.713,15.6,23.3,52.0,12.0,49.2,40.2,72.0,57.0,61.1,none,80.7,54.8,0.876,0.722,hydration_tip
FS_0015,46-60,dry,oval,stressed,0.774,26.9,42.2,33.3,73.7,41.9,31.3,46.6,41.2,93.0,none,51.8,45.5,0.885,0.773,hydration_tip
FS_0016,26-35,dry,oblong,sad,0.779,16.4,43.0,20.9,17.8,43.8,20.8,61.5,44.3,87.9,dryness,60.8,57.9,0.942,0.768,hydration_tip
FS_0017,26-35,dry,oval,stressed,0.659,27.2,39.6,28.7,67.7,54.0,0.0,87.9,43.4,97.0,dryness,49.1,52.5,0.883,0.754,hydration_tip
FS_0018,46-60,oily,oval,happy,0.722,16.7,68.6,70.4,20.7,24.3,52.3,90.3,75.1,83.2,pigmentation,78.4,74.5,0.862,0.85,general_skincare
FS_0019,46-60,dry,heart,tired,0.4,25.1,60.6,22.7,33.9,72.2,38.2,83.0,44.7,86.5,dark_lips,40.5,57.8,0.863,0.864,hydration_tip
FS_0020,18-25,oily,oblong,calm,0.879,17.8,65.5,83.5,24.8,13.6,26.1,60.5,83.7,76.7,dark_circles,86.1,78.4,0.93,0.811,general_skincare
FS_0021,46-60,oily,heart,neutral,0.623,17.8,40.6,59.1,19.2,34.6,42.7,90.7,82.0,76.6,none,64.5,67.2,0.863,0.893,general_skincare
FS_0022,18-25,oily,oval,sad,0.642,23.4,56.7,80.8,38.4,41.6,28.4,70.2,71.4,71.0,sun_damage,62.5,64.6,0.877,0.852,general_skincare
FS_0023,26-35,normal,oblong,neutral,0.575,16.2,56.2,42.1,11.9,63.4,13.6,57.7,51.4,71.1,dark_circles,74.6,54.2,0.753,0.72,sleep_tip
FS_0024,18-25,normal,oblong,sleepy,0.222,29.4,82.2,42.4,9.3,93.7,23.3,87.3,47.7,72.6,none,26.6,65.6,0.969,0.844,sleep_tip
FS_0025,46-60,normal,oval,sleepy,0.218,20.8,60.1,38.7,21.9,61.3,43.0,76.9,70.0,74.2,dryness,31.3,67.3,0.858,0.846,sleep_tip
FS_0026,46-60,normal,heart,stressed,0.297,21.7,75.1,62.6,61.0,52.8,62.2,87.8,57.8,79.0,redness_flush,32.5,69.6,0.794,0.836,sun_or_stress_tip
FS_0027,26-35,normal,heart,happy,0.778,18.8,64.6,28.0,29.9,36.4,41.8,49.8,68.3,77.3,none,84.3,63.0,0.806,0.933,general_skincare
